occupation,frequency,canonical_label
fornaci da calce e laterizi,1,Lime and Brick Kilns
vetriere in genere e lampadari,1,glass and chandeliers
per azioni,1,stock company
delle Cliniche di Venezia,1,medical institution
dolciumi (mag osso),1,confectionery
coltelli e arrotini,1,knives and sharpeners
anticichità e libreria,1,antiques and bookstore
Direzione S. Lucia,1,transportation authority
Calvacavia,1,overpass
cereali (grossista e deposito),1,grain wholesaler
Cavalcavia,1,overpass
Viale Miranese 98,1,address
dolciumi (ingrosso),1,wholesale confectionery
tabaccherìa,1,tobacco shop
tappezziere c.,1,upholsterer
commerciatista,1,merchant
carbone e legna (det. taglio),1,coal and wood
lanerie e seterie,1,wool and silk
maniffatura e,1,manufacturing
ricuperi marittimi,1,maritime recovery
Reparto Compart. di Mobilitazione,1,mobilization department
fiscoi dischi per la spremitura delle olive,1,olive oil press
Cassiere Economo,1,cashier
vetro,1,glass
lavandiera,1,laundress
tappeti,1,carpets
Plexiglas,1,Plastic materials
Ass. fra Proprietari di Fabbricati,1,Property owners association
(dett),1,(details)
Gestione Agenzie Marittime,1,Maritime agency management
 chinicalgile,1,(unclear)
Offlcina Elettromeccanica,1,Electromechanical workshop
Direttore Gener.,1,General director
 Fori perle,1,Pearl holes
autonoleggio e automorsa,1,Car rental and towing
carni equine,1,Horse meat
Istituto Univers,1,University institute
pesce e crostacei,1,Fish and shellfish
casa e editrice,1,Publishing house
olii commestibili (commercio),1,Edible oils (trade)
 della Prev. Sociale,1,Social prevention
Cancelliere dirigente,1,Chief chancellor
porcellane,1,Porcelain
Incisioni,1,Engravings
timbri di gomma,1,Rubber stamps
"S. A., caffè",1,Coffee company
pres Lega R:9,1,President of League
dirigente Commissariato di S. Marco,1,Director of S. Marco Commissariat
Banca Popolare di Novara,1,Popular bank
carbone e legna (det- taglio),1,Coal and wood (cutting)
fabbro ferrajo e mecrtnico,1,Blacksmith and mechanic
officina fabbrile,1,manufacturing workshop
paniiicio,1,cloth merchant
"f,attoria",1,farm
S. M. Elisahet- te 22,1,religious institution
farmacie,1,pharmacy
Marco 7,1,unspecified
faiegrieria,1,ironworks
SS. Pietro e Caterina,1,religious institution
Addetto Sviarda Naobile,1,noble service
santo da uomo,1,saintly man
albergo - ristorante,1,hotel-restaurant
fabhro ferraio e meccanico,1,blacksmith and mechanic
Marangon,1,carpenter
Pittore Decoratore,1,painter decorator
Pasticcerias,1,pastry shop
Pelletterie,1,leather goods
Oggetti Artistici,1,artistic objects
Ferri e Metalli Usati,1,scrap metal
Capo Servizi Sgx. Mag. Gen.,1,government official
Organiz. (ANT),1,organization
Segretario Banca Nazionale del Lavoro,1,bank secretary
Rappresentante Carta,1,paper representative
Soc. Acc. Sempl. Mobili (Negozio),1,furniture store
"Carte da Gioco ""Modiano""",1,playing cards
Articoli Casalin,1,household articles
 gioieileria,1,jewelry store
 erane vegetale,1,herbal medicine
rappresentanze generi alimentarii,1,food distribution
Comm. Agaxit. Ufficio Stranieri dalla Questura,1,government office
vicario S. Barnaba,1,religious institution/clergy
Banco S. Marco,1,bank
(eredi),1,heirs
Commissariato Compartimentale di Polizia Ferroviaria,1,railway police
 (grossista),1,wholesaler
ed L. Merline e C.,1,unspecified business
Gabinetto Prefettura,1,government office
(edicola),1,newsstand
chimico del La..,1,chemist
accordatori pianoforti,1,piano tuners
carta (grossista),1,paper wholesaler
rappresentante macchine,1,machinery representative
Comm. dirigente,1,management
autoparosti,1,auto parts
trasporti e spedizioni,1,transport and shipping
Σegretario,1,secretary
magil'na (fabbrica),1,factory
Salvi Marco 2887,1,unspecified business
 impresa edile,1,construction trade
Silvio. Giovanni e Mario,1,unspecified business
bottiligeria,1,bottling company
levame e pali da costruzioni,1,construction materials
Cann 8971,1,unknown
Mlumlnio,1,aluminum
S. Pietro in Volto,1,religious institution
"Appareohgl per saldatura e taglio osalacetilenici, Riduttori di presslone, Impiantì di distrlbufione gas compressl, Rappresentanti per il Veneto: Soc. Rapprentazne Generali, S. Molse.",1,welding and gas distribution
"Pelletseun, Sarn Pietro in Volta",1,unknown
Consegnatario Magazino Distretto Militaire dl Veniuzia,1,military supply
Gludeco 595,1,unknown
lubrificanti,1,lubricants
lavori municipalizzati,1,municipal works
idraulica-sanitaria,1,plumbing and sanitation
seterie e lanerie,1,silk and wool
pellicceria tessuti,1,fur and textiles
pianificato,1,planning
fornura di calcei e butteri,1,shoe and boot supply
importazione ed espor tazione varie,1,import/export
cartolexia,1,stationery
 idraulica e gas,1,plumbing and gas
Segretario Ispet. Ispt. Circoscrizione Doganale,1,customs secretary
presidi,1,preschools
impresa edile riscaldamento fumisteria,1,construction and heating
Adriatico,1,shipping company
fabbrica e deposito,1,factory and warehouse
marmellate frutta vendura (grossista),1,fruit preserves wholesaler
perlo (lavoro e commercio),1,pearl trade
"di Spedizione, spedizioni e trasporti",1,shipping and transport
prodotti e sottoprodotti petroliferi,1,petroleum products
Giudice: Tribunale Civile e Penale,1,judge
Cantiere navale,1,shipyard
Radio e radiogrammofoni,1,radio equipment
Abiti (riparazioni),1,tailor
Cinema (agenzia noleggio film),1,cinema rental agency
Vetro (lavorazione),1,glass processing
Autero trasporti,1,transport services
"Organizzazione Trasporti, spedizioni e trasporti",1,transport organization
Presidente Tstinto Veneto di Scienze Lettere ed Arti,1,president of cultural institution
Medico generale,1,general practitioner
"Ass. Naz. Mutilati ed Invalidi di Guerra, ex Palazzo Reale",1,war veterans association
Parocco,1,parish priest
Alimentari (gross),1,grocery wholesaler
Villuitteur,1,unknown trade
"Commercio riso, farina, legumi, Ortaggi conservati all'orto, Carta da imbacco, Saponi in genere",1,grocery trade
Elettricista idraulica e gas,1,electrician and plumber
Deposito mobili,1,furniture storage
DU5E,1,unknown
trattoria | P. Marghera Vi Rossanrol,1,trattoria
medicina generale | Osp. Infettivi,1,general medicine hospital
ostetrice | Mestre,1,midwife
articoli somm.a,1,articles retailer
farmaciaa,1,pharmacy
minerial,1,minerals
rappresentante-prodotti chimii,1,chemical products representative
lavaderia e stierira,1,laundry and ironing
rapprsentate macchinari,1,machinery representative
alimentari gross.,1,grocery
Procuratore della Scuola Mer-letti di Murano,1,lace school representative
rappresentante penni alimentari,1,food products representative
Consigliere Isttautiz Aut. per le case poplari,1,public housing advisor
bandaio lattoniere,1,sheet metal worker
Santa Apneise 909-A,1,religious institution
chincaglieria,1,novelty goods
fabbrica,1,factory
Frari,1,church
autoviatporti,1,transportation services
metalli minuti,1,small metals
Cann. 2102,1,religious institution
manutentore,1,maintenance services
Ufficio di Espett. Oggetti di Antichita e d’Arte,1,office of antiquities
fotografie (gabinetti di pos.,1,photography studio
bar.,1,bar
glati,1,ice cream
di Giovanni Lucangei,1,individual name
valigeria,1,luggage retailer
rappresentante articoli in vetro,1,glassware representative
rappresentanze generali e limenari,1,general representation
"rappresentante, filati",1,yarn representative
"Alla Nuova Trattoria, di Mario",1,trattoria
"Vice Comandante, Capitano",1,military officer
"frigoriferi, officina meccanica e metallurgica",1,refrigeration and metal workshop
terrazzano,1,terrace builder
"Insegnante, Rettore Istituto Crovani e Guglielmo Marconi",1,"teacher, rector"
ispett. comp. dell'Ispettorato delle Imposte direttc,1,tax inspector
caroleria,1,choir
"articoli casalinghi, cartoleria",1,"household goods, stationery"
"merceire, filati e affini",1,"haberdashery, yarns"
lingería e maglierie mercerie filati,1,lingerie and knitwear
Ispettrice Gener. Opera Pia; Asili di Carità per l'Infanzia,1,"general inspector, charity institution"
"confezioni per uomo, impermanefili lingerie e maglierie",1,men's clothing and lingerie
pellami e cuoi a,1,leather goods
deposito Marghera,1,warehouse
frutta secca,1,dried fruit
mercerie filati,1,"haberdashery, yarns"
alimentari (dott.),1,grocery (doctor)
Pres. Società degli Amici dei Monumenti,1,"president, monument society"
vic. intend. dell’Intendenza di Finanza,1,finance inspector
frutta,1,fruit
Vice Ispet. di Zona,1,deputy zone inspector
professore Instituto Universitario di Architett.,1,"professor, architecture institute"
professore Instituto Universitario Architett.,1,university professor
agenzia d’affari,1,business agency
Stabilimento : Casa di Pena,1,prison
Reggente Uff. Ist. Naz. Ass. Malattia ai Lavoratori,1,health insurance office
"C. Reparto, Uff. personale Ferrovie dello Stato",1,railway personnel office
Direttore Banca d’Italia,1,bank
 juors,1,journalist
grossista liquori,1,liquor wholesaler
cererie e prodotti affini,1,candle and related products
coltellaio e arrotino,1,cutler and sharpener
Ingegn. Primo n° 7,1,engineer
Direzione Ferrovie de lo Stato,1,railway management
calcolatrice,1,calculator
imprese edili,1,construction company
ebanista,1,cabinetmaker
Cimiteri Comunali,1,municipal cemetery
scuola,1,school
sqiurero,1,unknown
Favaro Veneto Dese,1,Favaro Veneto
Apparecchi agricoli,1,agricultural equipment
Acc. Senni.,1,unknown
Fiori,1,florist
"Ispett. 2,  Clas. Off",1,inspector
Rappresentante,1,representative
"Confezioni Pellicceria, Deposito Pelli",1,Fur and Leather Goods
comm. e lavorazione,1,Commerce and Processing
t'atoria,1,Tailoring
Società Anonima,1,Corporation
munitettature,1,Military Supplies
"Distribuzione e l'ispezione di giornali, Distribuzione giornali, Distribuzione Libri",1,Newspaper and Book Distribution
fabbricati e aziende agricole,1,Agricultural Enterprises
rappresentante materiale elettrico,1,Electrical Material Representative
rappresentante attorcchi in vitro,1,Laboratory Equipment Representative
calsature,1,Footwear
mobili sati,1,Furniture
di Eugenio e Mario Miozzi,1,Business Partnership
merce verie,1,General Merchandise
pittore decorato.°,1,Decorative Painter
Commissario dela Casa Previd. Lavoratori Portuali,1,Port Workers' Welfare Commissioner
carbone legna legnam & pali da costruzioni,1,Construction Materials
mercer.,1,Mercer
"Istituto Universitario di Economia e Commercio, Ca Foscari",1,University Institute of Economics and Commerce
Tappzatore,1,Upholsterer
orefici,1,Goldsmiths
Provveditoria Marittima,1,Maritime Supply
prov. servizio impianti sport,1,Sports Facility Services
 vetrerie e oggetti artistici,1,Glassware and Artistic Objects
chincagliere,1,Curiosities Dealer
gabinetti di posa,1,Installation Services
 chincaglierie,1,jewelry store
tagliani,1,tailor
I Assistente del Genio Civile,1,civil engineering
 industria,1,industry
Santa Maria Formosa 4778,1,address (location)
"detergenti, saponi, affini",1,detergents and soaps
pensione albergo,1,boarding house
rappresentante macchineri,1,machinery representative
grossisti,1,wholesalers
materiale fotografia,1,photography supplies
sartola confezioni per uomo,1,men's clothing tailor
Pasticceria e Bar,1,pastry shop and bar
Specialità veneziana,1,Venetian specialties
"Rappresentante tessuti, confezioni, liniti",1,fabric and clothing representative
"Specialità venoziane, pelletterie",1,"Venetian specialties, leather goods"
Specialità venoziane,1,Venetian specialties
Clinica,1,clinic
Decoratore e Pittore,1,decorator and painter
Lavandiner e stirrac,1,laundry and ironing
"Specialità veneziana, quadri riproduzioni ed oggetti artistici",1,"Venetian specialties, art reproductions"
Imballaggi in legno,1,wooden packaging
Fonderia meccanica,1,mechanical foundry
Generacia,1,generation (possibly a business name)
Director,1,director
"Legnime, mercerie, filat e affini",1,timber and haberdashery
Articoli sanitari,1,Medical supplies
 molino,1,Mill
spazzole,1,Brushes
 oggetti artistici,1,Art objects
compravendita,1,Trade
acciai,1,Steel
armatore-aganzuia marittima,1,Shipping company
materiale fotografico,1,Photography supplies
radio e radio; alumunofni,1,Radio equipment
"prodotti officinali,S.g.r.l. prodotti farmaceutici (commerciali)",1,Pharmaceutical products
cofor,1,Unknown
fatto da uomo,1,Handmade
RIECA,1,Unknown
Sottuto,1,Unknown
Specialisti in malattie oculari,1,Eye specialists
carta da macera,1,Paper recycling
cantlere navale,1,Naval construction
macchine a motori,1,Motor machinery
Gran Viale 17,1,Address
vetreria,1,Glassware
Zinografia,1,Zincography
"Segretario di prima classe Tribunale Civile e Penale, Rialto numero 186",1,Legal profession
nuclei Scal. Marghera,1,Unknown
eletrogavanica,1,Electroplating
murtori,1,Unknown
C.P. 28,1,Unknown
Contabili ecc.,1,Accounting
legnami e palia da costruzioni,1,Construction materials
"C. Reparto Gl. personale Ferrovie dello Stato, Direzione",1,Railway administration
olii commestibili (commerce),1,Edible oils
"Società Italiana Cinemato-grafia, Soc. a r. l., cinema (aggenzi noleggio film)",1,Film company
"Costruzioni ed impianti elettrici idraulici sanitari e gas, Officina riparazioni, Venezia materiale",1,Electrical and plumbing
calzaturficio,1,Shoe factory
Segretario della (FIDAL),1,Athletics secretary
Societa Canottieri Bucintoro,1,Rowing club
parroco S. Maria Elisabetta di Lido,1,Parish priest
specialita veneziane,1,Venetian specialties
rappresentante macchiarer,1,Sales representative
"armi, munizioni, proiettili",1,Arms and ammunition
frutta e verdura (Grossista),1,Wholesale produce
"Magasin de Paris, Sartoria, Confezioni e Lingerie di Lusso",1,Tailoring and lingerie
Soc. a.r. l.,1,Limited company
stoffine e tessuti,1,Fabrics and textiles
nettezza urbana,1,Urban sanitation
"cav. not., IV Rep. Poste e Telegrafi, ",1,Notary public
"Istituto Federale delle Casse di Risparmio delle Venezie,",1,Savings institution
"cav.,",1,Knight
commercio enologico,1,Wine commerce
 smalti ecc.,1,Enamels
 cristalli e spechi (commercio e lavorazione),1,Glass and mirrors
"Frutta, Verdura",1,Fruit and Vegetables
mediatori generali,1,General Brokers
PSC. Soc. Ven. dell (UITIS),1,Shipping Company
Segretario Generale Deputazione Provinciale dell'Amministrazione della Provincia,1,Provincial Administration
vendita di saponi,1,Soap Sales
 importazioni ed esportazioni varie,1,Import/Export
Uff. Prov. Statistica Economica Agricola,1,Agricultural Statistics
perle (produtt. e commercio),1,Pearl Production and Trade
mercerie e filati,1,Haberdashery and Yarns
foraggi,1,Animal Feed
Bar caffè (esercii),1,Café Bar
Studio Radio e Elettrotecnico,1,Radio and Electrical Studio
caffe (servizii),1,Coffee Services
fed. It. della Vela (FIV),1,Sailing Federation
"cicli e motocicli (accessori, riparazioni, vendite)",1,Bicycles and Motorcycles
Punta Sabbioni,1,Punta Sabbioni
Capo Uff.,1,Chief Office
Gazzera Alta 158,1,Gazzera Alta
Direzione Lotto,1,Lottery Administration
articoli funebri,1,Funeral Articles
"alimentari, gross.",1,Grocery Wholesale
confezioni iliati,1,Packaging and Yarns
"alimentari, detti",1,Grocery Retail
Clinica Ostetrica,1,Obstetric Clinic
Lagenitmi e pali da costruzioni,1,Construction Materials
"mercerie, afiat e affini",1,haberdashery
Rappresentante e Depositi,1,representative and deposits
"caffe, commercio, droghe e dolciumi, Coloniali",1,coffee and colonial goods
"caffè, importatori, droghe e dolciumi, coloniali",1,coffee importers
P.esqnd. Automobile Club d’Italia,1,automobile club
Ritratti artistici - Lavori industriali - Reparto elmo-cinografico - Veduta materiale fotocinomatografico,1,artistic portraits
Produzione e Lavorazione vetro,1,glass production
noloeggio imbarcazioni,1,boat rental
manifatture tessuti,1,textile manufacturing
fornica di calce e laterizi,1,lime and brick
carne vegetale,1,vegetarian food
Direzione S. Lucis,1,Saint Lucis direction
modisteria,1,millinery
 liquori (fabbrica e deposito),1,liquor factory
Biblioteca Marcinina,1,library
Agenzia Bufolo Gina,1,agency
piasza Giovanni,1,public square
pm. Patriarcale,1,patriarchal office
Magazzino Deposito Materiali da Costruzioni,1,construction materials warehouse
informazioni comm.,1,commercial information
Materiali per l’Edilizia,1,building materials
Capo uff. Amministr.,1,administrative office
 ingrosso,1,wholesale
"cartoleria, libreria",1,stationery and bookstore
"terrazze porcellane, detersivi, saponi, affini (vendita)",1,porcelain and cleaning products
carta (commercio),1,paper trade
carbone e legna (grossisti),1,coal and wood wholesale
bottigliecia,1,bottling company
malatte polmonari,1,medical profession
avvz.,1,legal profession
cicli e motocicli (noleggio nolecizio riparazioni),1,bicycle and motorcycle rental
fabbro e meccanico,1,blacksmith and mechanic
fiori piante e sementi,1,floristry
trattoria a Il Fureto Risoro,1,trattoria
disegnatore Soprintendenza ai Monumenti Medioevali e Moderni del Veneto Orientale,1,architectural designer
trattorìa,1,trattoria
Tenenza delle Legioni Territ. Guardia di Finanza 44 tre,1,government/civic institution
Direttore dell’Istituto Nazionale per l’Assicurazione contro gli Infortunii sul Lavoro,1,government/civic institution
tabacchiere,1,tobacco shop
modista,1,milliner
fabre ferraio e meccanico,1,blacksmith and mechanic
caleteria,1,unspecified trade
fotografo (agbinetti di pose),1,photographer
minerali,1,mineral trade
bigiotterie,1,costume jewelry
autoscuola,1,driving school
"Ispett. Riparto Telegrafo Uff. Impianti Elettrici e di Segnalamento, Ferrovia dello Stato",1,government/civic institution
professore Istituto Universitario di Architet,1,academic profession
ricuperi navali,1,ship recovery
parruccchiere per signora,1,hairdresser
Radio riparazioni,1,radio repair
lubrificanti bitumi,1,bituminous lubricants
tappeti (negozio),1,carpet store
agenzia marittima spdiuzion,1,shipping agency
Rappresentanze Medicinali,1,pharmaceutical representation
Sarto da Uomo,1,men's tailor
Fabbro ferraio meccanico,1,blacksmith
Rappresentanze Produttrici di Medicinali,1,pharmaceutical representation
Pres. Reg. della (F.I.S.I.),1,sports federation
Imbarcbi e sbarchi,1,embarkation and disembarkation
Cooperato',1,cooperative
Quadri,1,paintings
Coloniali detersivi saponi affii (commercio),1,colonial detergents and soaps
Rappresentante tessuti,1,textile representative
Albergo e ristorante,1,hotel and restaurant
Fotografie (gabinetto di posa),1,photography studio
"Officina Elettromeccanica, Saldatura Autogena",1,electromechanical workshop
"vetri, cristalli e specchi",1,glass and mirrors
"prodotti antisettícu-genici, inchiostri",1,antiseptic products
"Rappresentanze Industriali, Commerciali ed affini",1,industrial and commercial representation
ricerche minerarie,1,mining research
"vetri artistici, quadri, stampe",1,artistic glass and prints
lucido da Scarpe,1,shoe polish
liquori,1,liquor
Capo della Sezione price. Sez. Movimento Ferrovie Dello Stato,1,railway administration
"Cucina Tipica Veneziana, Grande Salone per banchetti e Rinfreschi",1,Catering service
articoli fotografici ottica,1,Photography supplies
"spedizioni, agenzia marittima",1,Shipping agency
pasticcio,1,Pastry shop
sarta; e a confezioni per bambini,1,Tailor
"Uff. personale Ferrovie dello Stato, Direzione S. Lucia",1,Government office
Direttore Generale Istituto Federale delle Casse di Risparmio delle Venezie,1,Banking institution
l'attrice,1,Actress
Segretario Consulate Regionale per l'Agroclultura e Foreste,1,Agricultural consulate
alimentari (dettaglianti),1,Grocery store
mobili di lusso e comuni,1,Furniture store
nolleggno imbarcazioni,1,Boat rental
"ottico (commercio), dischi, radio",1,Optical shop
naturale cinematografico,1,Film production
mercerie filati ed affini,1,Haberdashery
rappresentante carta,1,Paper representative
Consigliere Istituto Aut. per le case popolari,1,Housing authority
friggitioria e commestibili cotti,1,Fried food shop
"pasticceria, bar",1,Bakery and bar
imbarchi e sbarchi,1,Embarkation and disembarkation
squero,1,Boatyard
"modisteria, succe. di Baroncelli",1,Millinery
elettricista idraulico,1,Electrician and plumber
"legnami e pali da costruzioni, (grossista)",1,Lumber wholesaler
"parroco, S. Giacomo dall’Orio",1,Clergy
salumi (grossista),1,wholesale charcuterie
Direttore Banca Commerciale Italiana,1,banking institution
pali di legno,1,timber
Impresa Lavori,1,construction company
rigattatoi,1,second-hand goods
Aiutante di Cancelleria della Pretura di Mestre,1,court clerk assistant
carbone e legname (dettaglio),1,coal and timber retail
lavanderia e stalleria,1,laundry and dry cleaning
palii iniettati,1,injected palli
argenteria e doratura,1,silverware and gilding
commercisita,1,merchant
maglieria biancheria (negozio),1,knitwear shop
alimentari (dettagli),1,grocery store
Istituto Nazionale per l'Addestramento Professionale Lavoratori dell'Industria,1,vocational training institute
 Incisioni,1,engravings
Fabbrica Timbri - Studio Incisioni,1,stamp factory - engraving studio
Imprese Edile,1,construction company
Divisione Ragioneria,1,accounting division
Impresa Edile Falegnameria,1,carpentry construction
Uffici Centrali dell'Amministrazione della Provincia,1,provincial administration office
Veneta Costruzioni,1,Venetian construction
forniture,1,supplies
articoli ceramici,1,ceramic articles
s. r. Compien venditti automobilie,1,automobile dealership
oggetti preziosi ed affini,1,precious objects
Societa immobiliare,1,real estate company
Importazione Esportazione Commercio Prodotti del suolo e del Findustrie,1,import-export agricultural products
Industrie Navali Officina Meccanicee,1,shipbuilding and mechanical workshop
officina di Motoeicli,1,motorcycle workshop
Stazioned di Venezia,1,train station
vetria,1,glassworks
regolatori di temperatura,1,HVAC services
Tendomna Volante Legione Ferrit,1,Aviation services
fotografi,1,photography
economo,1,accountant
vele e bandiere,1,sails and flags
"Lavori Fotografici, Fotomateriale",1,photographic works
ortagagi,1,vegetable seller
materassai,1,mattress maker
legumi,1,legumes
Ispet. Capo Amm. Imposte Consumo del Comune,1,municipal tax inspector
Sindaco Assist. Naz. Combattenti,1,veterans' assistance
"Laboratorio Cornici ed Affini, Vetri, Specchi, Cristalli, Quadri",1,frame and glass workshop
vini rappresentante generi alimentari,1,wine and food representative
"inco,re, coestelatore, sbalzatore, timbri di gom- ma e metallo",1,engraving and stamping
"Società automezzi Roma, automoleggi Automosport",1,car rental company
"Banca di Roma, ",1,bank
"Comand. Circolo Iozione Tetrti, Guardia di Finanza",1,finance guard association
Altri Stazione,1,Transportation services
scientifica,1,Scientific services
Primo Pretore dirige entf,1,Legal profession
Servizi autotrasporti Industriali di,1,Industrial transport services
nomina per Valli in provincia di Venezia e Campagnaluqa,1,Government/civic institution
alimenti (dett. c. ingrosso),1,Wholesale food
Tribunale del Minorenni,1,Juvenile court
Soc. Coop. Autotrasporti cel eri internazionali,1,International transport cooperative
(Cronometriosta),1,Timekeeping services
cinema (produzione film stabii-,1,Film production
Tribunale Civile e Penale,1,Civil and criminal court
fluviali e terrestri,1,Transport services
gerogi alì mentari (dett.),1,Elementary education
"carburanti, forniture navali, combustibili",1,Fuel and naval supplies
"cartoleria, tabaccheria",1,Stationery and tobacco
 (dett.),1,(not specified)
Deputato dell'Amministrazione della Provincia,1,government/civic institution
Disinfestazioni con gas tossici,1,Pest control services
Cann. 1671,1,(not specified)
fotografia,1,Photography
impresa di costruzioni,1,Construction trade
"chiavaleserie, succ. di Gaio Ernengildo",1,Locksmith services
"Sostituto capo Sez. Materiale Trazione, Ferrovie dello Stato, Direzione",1,Government/civic institution
scaprer,1,Shoemaker
abbiagliamento,1,Clothing retail
Cerioniero del Patriarcato,1,Religious institution/clergy
pelliche,1,furrier
abitì confezionati,1,clothing manufacturer
Società Carburanti Italiana Anonima,1,fuel company
Vice Comm. Agg.,1,government official
Comm. Aggi.,1,government official
Pelet (lavor. e commercio),1,pellet manufacturing
Strada Nuova,1,Street name
har. s,1,hardware store
Vice Presid. Sc.,1,government official
"Apparecchi di tutte le Marche, Dueomi Duenti, Amplificatori, Impianti Cine, Negozio e Laboratorio",1,electronics store
bandaio e fattirone,1,carpenter
Telecommunication,1,telecommunications
Immobiliare,1,real estate
 benzina,1,gasoline
 drogheria,1,grocery store
 specialità Veneziane,1,Venetian specialties
Molini artistici e tappaziere,1,artistic mills
Arcprete,1,clergy
Fabbrica,1,factory
pasticciere,1,pastry chef
dermatologo,1,dermatologist
industries boschive,1,forestry industry
"merce nelia, filati e affini",1,textile trade
Membro Ann.,1,member association
elettricista,1,electrician
geometra,1,surveyor
perle d’ogni tipo a lume,1,pearl merchant
"Sez, Materiale Trazione",1,transportation materials
lapidi marini,1,marine stones
"merce-ria, filati e affini",1,yarn and textiles
ostetia,1,tavern
pubblicità,1,advertising
consigliere,1,advisor
Capitale Lire 60.000.000,1,capital investment
Imp. Gen. per Costruzioni,1,general construction
terramatta e metalía,1,terracotta and metal
oreccheria,1,earthenware
radiomeccanica,1,radio mechanics
"argenteria, oreficeria, gioiellerie",1,silverware and jewelry
"saccheria, azzettaii e santi",1,sack and religious items
fiamaviera,1,flame maker
"orologeria, oreficeria, gioielleri",1,watchmaking and jewelry
arcirepe,1,archpriest
"perle (produtt, e commercio)",1,pearl production and trade
mobili (fabbrica),1,furniture manufacturing
Archivista dell’ Avvercatura dello Stato,1,state archivist
"Soc. R. Rappresentanze e Attività affini, case editric",1,publishing and representation
"Comando iplepii, Legione Territ, Guardia di Finanza",1,military command
Prefabbricati,1,prefabricated structures
impianti di riscaldamento elettricità idraulica e gas,1,heating and plumbing systems
Sindacato Imprese Trasporti Recuperi e Ricostruzioni attivita navale,1,transport and recovery union
osterie,1,tavern
cartoleria oggetti artistici,1,stationery and art
Soc. Lavorazione Vetri e Cristalli,1,glass manufacturing
tintoria puliture a secco,1,dry cleaning
materiale per costruzione,1,construction materials
ne,1,(unclear)
 acque minerali,1,mineral water
legno carboni (grossisti),1,wood and coal wholesale
curtona legna,1,firewood
carburanti olii ed affnii,1,fuels and oils
carta (grossiuita),1,paper wholesale
merletti ciconini,1,lace making
Pal Da Mula,1,(unclear)
"cotellajuai, arrottini, minio",1,cutlery and sharpening
"aricule sanitari, prodotti farmaceutieci",1,sanitary products and pharmaceuticals
Industria sur- roggati cffe,1,coffee industry
Met'e,1,(unclear)
vetrate artistiche,1,stained glass
gas (industrie),1,gas industry
c .i o noleggi,1,rentals and leasing
società di assicurazioni,1,insurance company
pic eletteggio e verniciatura piroscafi,1,ship painting and finishing
"autotrasporti, spedizioni",1,transportation and shipping
D'allefitanni,1,(unclear)
Perle e Centre,1,pearls and jewelry
"elttricità econo, nizatori",1,electrical services
latte,1,dairy
contoi e casearia,1,dairy and cheese
prodotti farmaceutici,1,pharmaceuticals
caffe,1,coffee
apparecchi elettromeccanici,1,electromechanical devices
artic. commestibili (commercio),1,food products (commerce)
espressi telegrammi,1,telegram services
 Imbarcazioni,1,shipping
ab. bigliamento,1,clothing
Soc. Coop. Muranese di Consumo,1,cooperative grocery
attività immobiliari,1,real estate
prodotti industriali,1,industrial products
fonderia,1,foundry
elettromeccanica,1,electromechanics
Soc. Industriale es. Marco,1,industrial company
rappresentanze commerciali,1,commercial representation
Casa di Spedizioni,1,shipping company
legna per cellulose,1,wood for cellulose
S.A.,1,joint-stock company
acquedotti,1,aqueducts
per prodotti e commercio,1,products and commerce
Società mobiliare immobiliare e agricola,1,real estate and agricultural company
o'clock,1,timekeeping
Macellazione Venezia,1,meat processing
Navigazione Fluviale,1,River Navigation
Fornace da calce e laterizi,1,Lime and Brick Works
Compra Vendita Caffè e Ristoranti,1,Coffee and Restaurant Trade
Filanda,1,Silk Factory
Fonderia p'eceuenca,1,Foundry
Tessuti stampati e arti etici,1,Printed Fabrics and Arts
Ghiaccio (tabralerio),1,Ice Trade
Antichita della arti,1,Antique Arts
Antichita belle arti,1,Fine Arts Antiques
Essiccato lozzoli,1,Dried Flax
Società mineraria immobile,1,Mining Company
olii minerali,1,Mineral Oils
Rimorchi navali,1,Tugboat Services
Attività immobiliare,1,Real Estate
Fornacci da calce e laterizi,1,Lime and Brick Works
Acquisto fabbricati e aziende agricole,1,Purchase of Buildings and Farms
Molino,1,Mill
Deposito: Cannaregio Abazzia,1,Storage Facility
Agricoltura R.I.A.C.,1,Agriculture
Vereie,1,Varieties
Salumi,1,Cured Meats
Lungomare Malamocco,1,Seafront
Molini e Pastificio,1,Mills and Pasta Factory
compra vendita immobili,1,Real Estate Trade
impresa pompe funebri,1,Funeral Services
"cereali (grossista), olii commestibili (commecio)",1,wholesale grains and oils
reprezntanze varie,1,various representations
vetroflex,1,glass products
"caffè (eserzio), Castello 4565",1,coffee shop
minio,1,lead
ghiaerio (fabbrica),1,gravel factory
attività immobiliare,1,real estate
industria laterizi,1,brick industry
ingegner costrzeni al Neon,1,neon construction engineering
vetre. rie in genere e lampadari,1,glass and chandeliers
lavori poruuali materiali per costruzioni,1,construction materials
"Costruzioni edili, civili e industriali, industri inoshiva",1,civil and industrial construction
"Ufficio di Venezia, Sezioni: Stabilimento Grandi Motori, Ferriere Piemontesi, Industrie Metallurgiche ed Accialerie, Fonderie Ghisa, Materiale Ferroviario, S. A. Metalli, S. A. Produscia, S. A. Ricuperi Metallifei, Prodotti Vitoc e della Vetrooock.",1,metallurgical and railway office
"Manufatti in cemento, tubi in cemento",1,concrete products
